ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
yes,no,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,18 or younger,yes,no,0,none,yes,1,Partner at most 3 years older,yes,"living with man, not married",40-44,35-44,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,currently partnered,yes,no/primary,Housework/work as unpaid family member,Support from partner/husband,African,yes,yes,yes,yes,44,35-44,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,1.5301,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,64, Partner at least 9 years older,yes,currently no partner,30-34,25-34,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,formerly partnered,yes,higher/tech/vocational,Working,Income from own work,African,no,no,no,no,98,65 and +,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,1.5301,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,yes,no,yes,no,Christian,not married/cohabitated,no,no,0,none,no,-4,Woman is older,no,currently no partner,45-49,45-54,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,higher/tech/vocational,Working,Income from own work,Indigenous/other,no,no,yes,no,44,35-44,no/primary,no,no,no,no,no,no, ,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,1.5301,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,3,2,yes,9, Partner at least 9 years older,yes,currently married,45-49,45-54,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,currently partnered,yes,no/primary,Working,Support from partner/husband,African,yes,yes,no,no,58,55-64,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,yes,yes,yes,no,no,no,no,Jamaica,1.5301,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,no,no,no,no violence,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,yes,10, Partner at least 9 years older,no,currently married,60-64,55-64,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,no/primary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,73,65 and +,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,1.5301,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,no,0,none,no,3,Partner at most 3 years older,yes,"living with man, not married",40-44,35-44,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,higher/tech/vocational,Housework/work as unpaid family member,Support from partner/husband,African,no,no,yes,yes,44,35-44,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,1.5301,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,2,1,no,10, Partner at least 9 years older,yes,"living with man, not married",20-24,15-24,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Working,Income from own work,Mixed,yes,no,no,yes,33,25-34,secondary,no,no,yes,no,no,no,rarely/never/NA,rarely/never/NA,yes,no,yes,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,no,0,none,no,9, Partner at least 9 years older,yes,currently married,35-39,35-44,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Working,Income from own work,African,yes,no,yes,yes,44,35-44,secondary,no,yes,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,yes,yes,no,no,no,no violence,no,no,no,no,yes,no,no,no,yes,no,yes,no,Christian,not married/cohabitated,no,yes,4,2,yes,2,Partner at most 3 years older,yes,currently no partner,45-49,45-54,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Housework/work as unpaid family member,Support from relatives/friends,African,yes,no,no,yes,50,45-54,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,no,yes,yes,no,yes,yes,Jamaica,.8193,no,no,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,10, Partner at least 9 years older,no,currently no partner,60-64,55-64,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,no,secondary,Out of the labor force,No income/pension/social services/other,African,yes,no,no,no,74,65 and +,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,yes,no,no,no,yes,no,Christian,not married/cohabitated,no,yes,1,1,no,-10,Woman is older,yes,"regular partner, living apart",35-39,35-44,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,no/primary,Working,Income from own work,African,no,no,no,no,26,25-34,secondary,no,no,yes,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,yes,no,0,none,no,3,Partner at most 3 years older,yes,"living with man, not married",25-29,25-34,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,currently partnered,yes,higher/tech/vocational,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,29,25-34,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,yes,yes,yes,yes,Christian,not married/cohabitated,no,no,0,none,no,2,Partner at most 3 years older,yes,currently no partner,40-44,35-44,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Working,Income from own work,African,yes,no,no,yes,44,35-44,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,yes,yes,2,1,no,3,Partner at most 3 years older,yes,"regular partner, living apart",25-29,25-34,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,currently partnered,not married/cohabitated,higher/tech/vocational,Working,Income from own work,African,yes,no,no,no,32,25-34,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,yes,no,yes,no,Christian,19 or older,no,yes,3,2,no,0,Partner at most 3 years older,yes,currently no partner,30-34,25-34,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,formerly partnered,yes,higher/tech/vocational,Working,Income from own work,African,yes,no,yes,yes,31,25-34,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,no,no,no,yes,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,0,Partner at most 3 years older,yes,currently married,45-49,45-54,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Housework/work as unpaid family member,No income/pension/social services/other,African,yes,no,no,no,49,45-54,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,1,1,no,4,Partner 4 to 8 years older,no,"living with man, not married",40-44,35-44,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,yes,no,no,yes,44,35-44,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,yes,yes,sexual only,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,1,1,yes,1,Partner at most 3 years older,yes,"living with man, not married",55-59,55-64,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,59,55-64,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,no,no,no,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,yes,no,no,no,no,no,yes,no,Christian,not married/cohabitated,no,yes,4,2,no,19, Partner at least 9 years older,no,"regular partner, living apart",25-29,25-34,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,higher/tech/vocational,Housework/work as unpaid family member,Support from relatives/friends,African,yes,no,no,yes,44,35-44,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,yes,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,46, Partner at least 9 years older,yes,"living with man, not married",50-54,45-54,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from relatives/friends,African,yes,no,no,no,98,65 and +,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,1,Partner at most 3 years older,yes,currently married,60-64,55-64,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,currently partnered,yes,higher/tech/vocational,Working,Income from own work,African,no,no,no,no,63,55-64,higher/tech/vocational,no,no,no,no,no,no,sometimes,sometimes,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,3,2,yes,8,Partner 4 to 8 years older,yes,"living with man, not married",35-39,35-44,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,yes,yes,44,35-44,no/primary,yes,no,no,no,no,no,sometimes,sometimes,no,no,no,yes,yes,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,-8,Woman is older,yes,currently married,40-44,35-44,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Support from partner/husband,African,yes,no,yes,no,33,25-34,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,no,no,no,no violence,no,no,no,no,yes,no,no,no,no,no,yes,no,Christian,not married/cohabitated,no,yes,2,1,yes,7,Partner 4 to 8 years older,yes,"regular partner, living apart",35-39,35-44,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,secondary,Working,Income from own work,African,yes,no,no,no,44,35-44,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,yes,no,0,none,no,63, Partner at least 9 years older,yes,"regular partner, living apart",35-39,35-44,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,currently partnered,not married/cohabitated,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,98,65 and +,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,yes,no,0,none,no,-2,Woman is older,yes,"living with man, not married",45-49,45-54,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,yes,no,yes,yes,44,35-44,secondary,yes,no,no,no,no,no,sometimes,sometimes,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,yes,1,1,no,6,Partner 4 to 8 years older,yes,"regular partner, living apart",35-39,35-44,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,secondary,Working,Income from own work,African,no,no,no,no,44,35-44,secondary,yes,no,no,no,no,no,frequently,frequently,no,no,no,no,no,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,2,1,yes,15, Partner at least 9 years older,yes,currently married,25-29,25-34,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Support from partner/husband,African,yes,no,yes,yes,44,35-44,higher/tech/vocational,no,yes,yes,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,yes,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,1,1,no,4,Partner 4 to 8 years older,yes,currently married,40-44,35-44,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Working,Support from partner/husband,African,yes,no,no,yes,44,35-44,secondary,yes,no,yes,no,no,no,sometimes,sometimes,no,no,no,yes,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,yes,no,yes,no,yes,physical only,yes,no,no,yes,no,no,no,no,yes,no,yes,no,Christian,19 or older,no,yes,4,2,yes,2,Partner at most 3 years older,yes,currently married,45-49,45-54,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,yes,no,yes,47,45-54,secondary,yes,no,no,no,no,no,sometimes,sometimes,no,no,yes,yes,yes,no,no,yes,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,no,no,yes,no,yes,no,yes,no,yes,no,Christian,18 or younger,no,yes,2,1,yes,-2,Woman is older,yes,currently married,55-59,55-64,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Income from own work,African,yes,yes,no,no,53,45-54,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,no,yes,yes,no,no,no,Jamaica,.8193,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,yes,no,no,no,no,no,yes,no,Not christian,not married/cohabitated,no,yes,5,2,yes,65, Partner at least 9 years older,yes,"regular partner, living apart",30-34,25-34,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,no/primary,Housework/work as unpaid family member,Support from partner/husband,African,yes,yes,yes,no,98,65 and +,no/primary,no,no,no,no,yes,no,sometimes,sometimes,yes,no,yes,yes,yes,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,-6,Woman is older,yes,"living with man, not married",50-54,45-54,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,no/primary,Working,Income from own work,African,yes,no,yes,yes,48,45-54,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,yes,yes,no,yes,yes,sexual only,no,no,no,no,no,no,no,no,yes,no,yes,no,Christian,19 or older,no,no,0,none,yes,3,Partner at most 3 years older,yes,"living with man, not married",50-54,45-54,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Working,Support from partner/husband,African,no,no,yes,yes,55,55-64,secondary,yes,no,yes,no,no,no,sometimes,sometimes,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,3,Partner at most 3 years older,no,"living with man, not married",60-64,55-64,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,currently partnered,yes,higher/tech/vocational,Out of the labor force,No income/pension/social services/other,African,no,no,no,no,63,55-64,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,3,Partner at most 3 years older,yes,currently married,45-49,45-54,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,52,45-54,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,2,1,no,17, Partner at least 9 years older,yes,"living with man, not married",40-44,35-44,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,yes,no,no,no,59,55-64,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,no,0,none,no,1,Partner at most 3 years older,no,currently no partner,20-24,15-24,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Out of the labor force,Support from relatives/friends,Mixed,yes,no,no,no,24,15-24,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,1,1,no,2,Partner at most 3 years older,yes,currently married,40-44,35-44,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Housework/work as unpaid family member,Support from partner/husband,African,yes,yes,no,yes,45,45-54,secondary,no,no,no,no,yes,yes,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,yes,yes,yes,yes,yes,both,no,no,no,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,3,2,yes,48, Partner at least 9 years older,no,currently married,50-54,45-54,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Working,Income from own work,African,yes,yes,yes,yes,98,65 and +,no/primary,no,no,no,no,yes,no,frequently,frequently,yes,yes,no,yes,no,no,no,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,no,no,no,no violence,no,no,yes,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,2,1,yes,9, Partner at least 9 years older,yes,currently married,55-59,55-64,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,no/primary,Working,Support from partner/husband,African,yes,yes,yes,yes,66,65 and +,no/primary,no,yes,no,no,no,no,sometimes,sometimes,no,no,no,no,yes,no,yes,no,Jamaica,.8193,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,no,yes,yes,sexual only,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,Christian,19 or older,no,yes,1,1,yes,-1,Woman is older,yes,currently married,45-49,45-54,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Out of the labor force,Support from partner/husband,Mixed,yes,yes,yes,yes,44,35-44,secondary,yes,yes,yes,no,yes,no,frequently,frequently,no,no,no,no,no,no,yes,no,Jamaica,.8193,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,yes,no,0,none,no,23, Partner at least 9 years older,yes,"living with man, not married",25-29,25-34,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,no,no,no,no,51,45-54,higher/tech/vocational,no,no,no,no,no,no, ,rarely/never/NA,no,no,no,no,no,no,no,no,Jamaica,.9431,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,Christian,19 or older,no,yes,3,2,yes,4,Partner 4 to 8 years older,yes,currently married,25-29,25-34,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Housework/work as unpaid family member,Support from partner/husband,African,yes,yes,no,no,32,25-34,secondary,yes,no,no,no,yes,no,sometimes,sometimes,no,no,no,yes,yes,no,yes,no,Jamaica,.9431,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,no,no,no,no violence,no,no,no,no,yes,no,no,no,yes,no,yes,no,Not christian,not married/cohabitated,no,no,0,none,yes,68, Partner at least 9 years older,no,"regular partner, living apart",30-34,25-34,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,higher/tech/vocational,Out of the labor force,No income/pension/social services/other,African,yes,yes,no,yes,98,65 and +,no/primary,no,no,no,no,yes,yes,sometimes,sometimes,no,no,no,no,no,no,no,no,Jamaica,.9431,no,no,no,no,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,no,no,yes,no,yes,no,yes,no,Christian,19 or older,no,yes,5,2,yes,12, Partner at least 9 years older,yes,"living with man, not married",40-44,35-44,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Support from partner/husband,African,yes,yes,yes,yes,52,45-54,secondary,no,no,yes,no,no,no,rarely/never/NA,rarely/never/NA,yes,no,yes,yes,no,no,yes,yes,Jamaica,.9431,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
yes,no,no,no,no,no,no violence,no,no,no,no,yes,yes,no,no,no,no,yes,yes,Christian,not married/cohabitated,no,yes,3,2,no,2,Partner at most 3 years older,yes,"regular partner, living apart",25-29,25-34,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,not married/cohabitated,higher/tech/vocational,Not working,Support from partner/husband,African,yes,no,no,yes,29,25-34,secondary,yes,yes,yes,yes,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,no,no,yes,no,Jamaica,.9431,yes,yes,yes,yes,no,yes,.56,.732,15,60 to 69th,97-100th,40-49th
